tl_x,tl_y,br_x,br_y
945.19,273.662,1011.63,377.85
3721.2,216.119,3763.92,265.807
2739.86,269.716,2787.27,350.466
973.126,278.322,1046.94,386.01
2828.57,268.255,2888.26,374.755
1719.95,311.888,1780.48,423.763
2638.37,940.715,2816,1211.22
2175.15,333.441,2240.96,456.316
1937.63,635.093,2102.13,843.343
2711.14,335.436,2799.77,451.873
3316.46,410.618,3402.77,534.555
1893.8,282.094,1957.17,389.469
2051.98,157.379,2099.23,243.316
2282.32,271.34,2337.94,378.215
3234.18,374.113,3315.25,493.488
2234.26,310.015,2302.64,429.14
2034.18,355.543,2117.62,481.605
1182.53,147.18,1219.4,190.117
2774.24,352.706,2835.33,458.081
1021.51,395.126,1109.95,534.751
1680.75,268.591,1741.65,378.091
3403.53,151.485,3428.61,195.267
2925.89,156.149,2958.2,196.68
1899.3,367.249,1980.18,503.374
402.303,404.416,488.428,549.541
2022.48,527.547,2130.54,692.047
1761.79,276.732,1827.91,393.607
